sequence,flowformer_J,flowformer_F,flowformer_JF,raft_J,raft_F,raft_JF,gmflow_J,gmflow_F,gmflow_JF
bike-packing,0.2499,0.2071,0.2285,0.2261,0.1979,0.2120,0.2258,0.1814,0.2036
blackswan,0.5569,0.6612,0.6091,0.5385,0.6610,0.5998,0.5432,0.6925,0.6178
bmx-trees,0.2423,0.3541,0.2982,0.2146,0.3142,0.2644,0.2298,0.3423,0.2861
breakdance,0.4387,0.5159,0.4773,0.4275,0.5104,0.4689,0.4486,0.5380,0.4933
camel,0.7524,0.7198,0.7361,0.7636,0.7313,0.7474,0.7406,0.6962,0.7184
car-roundabout,0.7214,0.5877,0.6545,0.8667,0.6839,0.7753,0.8774,0.6956,0.7865
car-shadow,0.8485,0.7652,0.8069,0.8516,0.7942,0.8229,0.7664,0.6652,0.7158
cows,0.8058,0.7219,0.7639,0.8114,0.7170,0.7642,0.7853,0.6954,0.7403
dance-twirl,0.6859,0.7134,0.6996,0.5973,0.6258,0.6116,0.5478,0.5761,0.5620
dog,0.6167,0.5724,0.5945,0.3125,0.3392,0.3258,0.2961,0.2968,0.2964
dogs-jump,0.1841,0.2335,0.2088,0.1932,0.2138,0.2035,0.2101,0.2257,0.2179
drift-chicane,0.2697,0.2857,0.2777,0.3109,0.3855,0.3482,0.3175,0.3337,0.3256
drift-straight,0.6857,0.5653,0.6255,0.7138,0.5751,0.6445,0.7480,0.6323,0.6902
goat,0.0570,0.1531,0.1051,0.0284,0.1207,0.0745,0.0093,0.1042,0.0567
gold-fish,0.1515,0.1869,0.1692,0.1619,0.1861,0.1740,0.1701,0.1863,0.1782
horsejump-high,0.3325,0.3721,0.3523,0.3373,0.3765,0.3569,0.3283,0.3697,0.3490
india,0.3533,0.3565,0.3549,0.3541,0.3585,0.3563,0.3201,0.3310,0.3255
judo,0.2357,0.2329,0.2343,0.2309,0.2383,0.2346,0.2251,0.1971,0.2111
kite-surf,0.1289,0.1948,0.1618,0.1769,0.2389,0.2079,0.1488,0.2492,0.1990
lab-coat,0.0299,0.0605,0.0452,0.0331,0.0512,0.0422,0.0322,0.0416,0.0369
libby,0.2291,0.3458,0.2874,0.2563,0.3513,0.3038,0.2888,0.4175,0.3531
loading,0.1412,0.1804,0.1608,0.1407,0.1675,0.1541,0.1425,0.1616,0.1520
mbike-trick,0.1323,0.1436,0.1380,0.1838,0.2074,0.1956,0.1710,0.1952,0.1831
motocross-jump,0.2402,0.2408,0.2405,0.1998,0.2033,0.2015,0.2210,0.2676,0.2443
paragliding-launch,0.1549,0.1281,0.1415,0.1446,0.1570,0.1508,0.1645,0.1480,0.1562
parkour,0.7115,0.7183,0.7149,0.6266,0.6469,0.6367,0.6949,0.7136,0.7042
pigs,0.1487,0.1882,0.1684,0.1507,0.1934,0.1720,0.1383,0.1587,0.1485
scooter-black,0.3307,0.2932,0.3119,0.3207,0.2651,0.2929,0.3181,0.2878,0.3029
shooting,0.2289,0.2184,0.2236,0.2394,0.2231,0.2313,0.2463,0.2346,0.2404
soapbox,0.1873,0.1937,0.1905,0.1861,0.1981,0.1921,0.1870,0.2055,0.1962
MEAN,0.3617,0.3704,0.3660,0.3533,0.3644,0.3589,0.3514,0.3613,0.3564
